tri_id,status_code,status_label,has_meniscus_geom,has_bottom_geom,Pin_W,Ponplane_W,att
848,0,ok,1,1,0.00200694,0.0011835,0.589702
849,0,ok,1,1,0.00178395,0.00106953,0.599528
850,0,ok,1,1,0.00200716,0.00119566,0.595698
851,0,ok,1,1,0.00178414,0.00107972,0.605177
852,0,ok,1,1,0.00200735,0.00120656,0.60107
853,0,ok,1,1,0.00178431,0.00108876,0.610186
854,0,ok,1,1,0.00200751,0.001216,0.605726
855,0,ok,1,1,0.00178445,0.00109649,0.61447
856,0,ok,1,1,0.00200765,0.00122383,0.609587
857,0,ok,1,1,0.00178457,0.00110278,0.617954
858,0,ok,1,1,0.00200775,0.00122991,0.612584
859,0,ok,1,1,0.00178466,0.00110752,0.620579
860,0,ok,1,1,0.00200782,0.00123413,0.614663
861,0,ok,1,1,0.00178472,0.00111063,0.622296
862,0,ok,1,1,0.00200785,0.00123641,0.615788
863,0,ok,1,1,0.00178476,0.00111204,0.623077
864,0,ok,1,1,0.00200785,0.00123671,0.615939
865,0,ok,1,1,0.00178476,0.00111174,0.622906
866,0,ok,1,1,0.00200782,0.00123503,0.615111
867,0,ok,1,1,0.00178472,0.00110972,0.621787
868,0,ok,1,1,0.00200775,0.00123139,0.61332
869,0,ok,1,1,0.00178466,0.00110603,0.61974
870,0,ok,1,1,0.00200765,0.00122587,0.6106
871,0,ok,1,1,0.00178457,0.00110073,0.616801
872,0,ok,1,1,0.00200751,0.00121855,0.606997
873,0,ok,1,1,0.00178445,0.00109391,0.613023
874,0,ok,1,1,0.00200735,0.00120958,0.602576
875,0,ok,1,1,0.00178431,0.0010857,0.60847
876,0,ok,1,1,0.00200716,0.0011991,0.597414
877,0,ok,1,1,0.00178414,0.00107623,0.603222
878,0,ok,1,1,0.00200694,0.00118731,0.5916
879,0,ok,1,1,0.00178395,0.00106567,0.597366
880,0,ok,1,1,0.0020067,0.00117438,0.585229
881,0,ok,1,1,0.00178373,0.00105418,0.590999
882,0,ok,1,1,0.00200644,0.00116054,0.578405
883,0,ok,1,1,0.0017835,0.00104196,0.584222
884,0,ok,1,1,0.00200617,0.001146,0.571237
885,0,ok,1,1,0.00178326,0.00102919,0.577141
886,0,ok,1,1,0.00200588,0.00113098,0.563833
887,0,ok,1,1,0.00178301,0.00101607,0.569863
888,0,ok,1,1,0.00200559,0.00111572,0.556304
889,0,ok,1,1,0.00178274,0.00100278,0.562494
890,0,ok,1,1,0.00200529,0.00110042,0.548757
891,0,ok,1,1,0.00178248,0.000989519,0.555137
892,0,ok,1,1,0.00200499,0.00108529,0.541295
893,0,ok,1,1,0.00178221,0.000976459,0.547891
894,0,ok,1,1,0.00200469,0.00107054,0.534016
895,0,ok,1,1,0.00178195,0.000963771,0.540852
896,1,invalid_meniscus_nodes,0,0,nan,nan,nan
897,1,invalid_meniscus_nodes,0,0,nan,nan,nan
898,1,invalid_meniscus_nodes,0,0,nan,nan,nan
899,1,invalid_meniscus_nodes,0,0,nan,nan,nan
900,1,invalid_meniscus_nodes,0,0,nan,nan,nan
901,1,invalid_meniscus_nodes,0,0,nan,nan,nan
902,1,invalid_meniscus_nodes,0,0,nan,nan,nan
903,1,invalid_meniscus_nodes,0,0,nan,nan,nan
904,1,invalid_meniscus_nodes,0,0,nan,nan,nan
905,1,invalid_meniscus_nodes,0,0,nan,nan,nan
906,1,invalid_meniscus_nodes,0,0,nan,nan,nan
907,1,invalid_meniscus_nodes,0,0,nan,nan,nan
908,1,invalid_meniscus_nodes,0,0,nan,nan,nan
909,1,invalid_meniscus_nodes,0,0,nan,nan,nan
910,1,invalid_meniscus_nodes,0,0,nan,nan,nan
911,1,invalid_meniscus_nodes,0,0,nan,nan,nan
912,1,invalid_meniscus_nodes,0,0,nan,nan,nan
913,1,invalid_meniscus_nodes,0,0,nan,nan,nan
914,1,invalid_meniscus_nodes,0,0,nan,nan,nan
915,1,invalid_meniscus_nodes,0,0,nan,nan,nan
916,1,invalid_meniscus_nodes,0,0,nan,nan,nan
917,1,invalid_meniscus_nodes,0,0,nan,nan,nan
