tri_id,v0x_m,v0y_m,v0z_m,v1x_m,v1y_m,v1z_m,v2x_m,v2y_m,v2z_m,area_face_m2,Sdotn_Wm2,Pin_W,R,T,A
0,0.0015,0,0.001962659759514668,0.002126666666666666,0,0.002019921314342361,0.002122429370851618,7.275155951847761e-05,0.002019601034991261,2.289046428149934e-08,9755.00116102633,0.0002232965056424578,0.02041860329184832,0.9795813967081518,-1.110223024625157e-16
1,0.0015,0,0.001962659759514668,0.002122429370851618,7.275155951847761e-05,0.002019601034991261,0.002109774785563356,0.0001445192789985958,0.002018644528166752,2.289009790760286e-08,9755.167060211194,0.0002232967291132566,0.02041762294584409,0.9795823770541561,-1.110223024625157e-16
2,0.0015,0,0.001962659759514668,0.002109774785563356,0.0001445192789985958,0.002018644528166752,0.002088874042359169,0.0002143326231507524,0.002017064728982762,2.288937009699319e-08,9755.496637985778,0.0002232971730268293,0.02041567553750269,0.9795843244624972,1.110223024625157e-16
3,0.0015,0,0.001962659759514668,0.002088874042359169,0.0002143326231507524,0.002017064728982762,0.002060009787936005,0.0002812474862589563,0.002014883001513135,2.288829065820373e-08,9755.985481963455,0.0002232978313683954,0.02041278745311787,0.9795872125468819,2.220446049250313e-16
4,0.0015,0,0.001962659759514668,0.002060009787936005,0.0002812474862589563,0.002014883001513135,0.002023572361818774,0.0003443589595910384,0.002012128849879179,2.288687414029215e-08,9756.627045248841,0.0002232986952183807,0.02040899782205282,0.9795910021779469,2.220446049250313e-16
5,0.0015,0,0.001962659759514668,0.002023572361818774,0.0003443589595910384,0.002012128849879179,0.001980054517687893,0.0004028135687368979,0.002008839519257042,2.288513963869328e-08,9757.412731551834,0.0002232997528739274,0.02040435798367186,0.9795956420163282,-1.110223024625157e-16
6,0.0015,0,0.001962659759514668,0.001980054517687893,0.0004028135687368979,0.002008839519257042,0.001930044759731073,0.0004558208153857772,0.002005059492200593,2.28831105402386e-08,9758.332007163486,0.0002233009900082705,0.02039893078817985,0.9796010692118199,2.220446049250313e-16
7,0.0015,0,0.001962659759514668,0.001930044759731073,0.0004558208153857772,0.002005059492200593,0.001874219384133746,0.0005026638674598274,0.002000839887091196,2.288081421061546e-08,9759.372538507103,0.0002233023898657635,0.02039278974108216,0.9796072102589181,-2.220446049250313e-16
8,0.0015,0,0.001962659759514668,0.001874219384133746,0.0005026638674598274,0.002000839887091196,0.001813333333333333,0.0005427092530382482,0.00199623776684929,2.287828162829225e-08,9760.520353665204,0.0002233039334898312,0.02038601800313534,0.9796139819968644,2.220446049250313e-16
9,0.0015,0,0.001962659759514668,0.001813333333333333,0.0005427092530382482,0.00199623776684929,0.001748209986717872,0.0005754154269783051,0.001991315367256284,2.287554696964863e-08,9761.76002597924,0.0002233055999807265,0.02037870725963228,0.9796212927403678,-1.110223024625157e-16
