node_id,x3_m,y3_m,x1_m,y1_m,ok,reason_code,reason_label,disc,root1,root2,chosen_root,checks
0,0,0,0.0015,0,1,0,ok,1,0,nan,0,""
1,0.0006266666666666666,0,0.002126666666666666,0,1,0,ok,1,5.726155482769233e-05,nan,5.726155482769233e-05,""
2,0.0006224293708516176,7.275155951847761e-05,0.002122429370851618,7.275155951847761e-05,1,0,ok,1,5.694127547659295e-05,nan,5.694127547659295e-05,""
3,0.0006097747855633562,0.0001445192789985958,0.002109774785563356,0.0001445192789985958,1,0,ok,1,5.59847686520832e-05,nan,5.59847686520832e-05,""
4,0.0005888740423591693,0.0002143326231507524,0.002088874042359169,0.0002143326231507524,1,0,ok,1,5.440496946809313e-05,nan,5.440496946809313e-05,""
5,0.0005600097879360051,0.0002812474862589563,0.002060009787936005,0.0002812474862589563,1,0,ok,1,5.222324199846652e-05,nan,5.222324199846652e-05,""
6,0.0005235723618187735,0.0003443589595910384,0.002023572361818774,0.0003443589595910384,1,0,ok,1,4.946909036451091e-05,nan,4.946909036451091e-05,""
7,0.0004800545176878929,0.0004028135687368979,0.001980054517687893,0.0004028135687368979,1,0,ok,1,4.61797597423731e-05,nan,4.61797597423731e-05,""
8,0.0004300447597310731,0.0004558208153857772,0.001930044759731073,0.0004558208153857772,1,0,ok,1,4.239973268592434e-05,nan,4.239973268592434e-05,""
9,0.000374219384133746,0.0005026638674598274,0.001874219384133746,0.0005026638674598274,1,0,ok,1,3.818012757652711e-05,nan,3.818012757652711e-05,""
10,0.0003133333333333334,0.0005427092530382482,0.001813333333333333,0.0005427092530382482,1,0,ok,1,3.357800733462145e-05,nan,3.357800733462145e-05,""
11,0.0002482099867178716,0.0005754154269783051,0.001748209986717872,0.0005754154269783051,1,0,ok,1,2.865560774161597e-05,nan,2.865560774161597e-05,""
12,0.0001797300258322833,0.000600340094384373,0.001679730025832283,0.000600340094384373,1,0,ok,1,2.347949580770899e-05,nan,2.347949580770899e-05,""
13,0.0001088195246712764,0.0006171461918876504,0.001608819524671277,0.0006171461918876504,1,0,ok,1,1.811966956727015e-05,nan,1.811966956727015e-05,""
14,3.643742611723142e-05,0.0006256064458499947,0.001536437426117231,0.0006256064458499947,1,0,ok,1,1.26486114755053e-05,nan,1.26486114755053e-05,""
15,-3.643742611723148e-05,0.0006256064458499947,0.001463562573882769,0.0006256064458499947,1,0,ok,1,7.140308207594526e-06,nan,7.140308207594526e-06,""
16,-0.0001088195246712762,0.0006171461918876504,0.001391180475328724,0.0006171461918876504,1,0,ok,1,1.669250115829673e-06,nan,1.669250115829673e-06,""
17,-0.0001797300258322832,0.000600340094384373,0.001320269974167717,0.000600340094384373,1,0,ok,1,-3.690576124609161e-06,nan,-3.690576124609161e-06,"t_negative_used"
18,-0.0002482099867178716,0.0005754154269783051,0.001251790013282128,0.0005754154269783051,1,0,ok,1,-8.866688058516148e-06,nan,-8.866688058516148e-06,"t_negative_used"
19,-0.0003133333333333332,0.0005427092530382483,0.001186666666666667,0.0005427092530382483,1,0,ok,1,-1.37890876515214e-05,nan,-1.37890876515214e-05,"t_negative_used"
20,-0.0003742193841337459,0.0005026638674598276,0.001125780615866254,0.0005026638674598276,1,0,ok,1,-1.839120789342706e-05,nan,-1.839120789342706e-05,"t_negative_used"
21,-0.000430044759731073,0.0004558208153857772,0.001069955240268927,0.0004558208153857772,1,0,ok,1,-2.261081300282452e-05,nan,-2.261081300282452e-05,"t_negative_used"
22,-0.000480054517687893,0.0004028135687368979,0.001019945482312107,0.0004028135687368979,1,0,ok,1,-2.63908400592735e-05,nan,-2.63908400592735e-05,"t_negative_used"
23,-0.0005235723618187733,0.0003443589595910386,0.0009764276381812267,0.0003443589595910386,1,0,ok,1,-2.968017068141109e-05,nan,-2.968017068141109e-05,"t_negative_used"
24,-0.0005600097879360049,0.0002812474862589564,0.0009399902120639951,0.0002812474862589564,1,0,ok,1,-3.243432231536648e-05,nan,-3.243432231536648e-05,"t_negative_used"
25,-0.0005888740423591692,0.0002143326231507525,0.0009111259576408308,0.0002143326231507525,1,0,ok,1,-3.461604978499352e-05,nan,-3.461604978499352e-05,"t_negative_used"
26,-0.0006097747855633562,0.0001445192789985959,0.0008902252144366438,0.0001445192789985959,1,0,ok,1,-3.619584896898337e-05,nan,-3.619584896898337e-05,"t_negative_used"
27,-0.0006224293708516176,7.275155951847742e-05,0.0008775706291483824,7.275155951847742e-05,1,0,ok,1,-3.715235579349291e-05,nan,-3.715235579349291e-05,"t_negative_used"
28,-0.0006266666666666666,7.674453274656746e-20,0.0008733333333333334,7.674453274656746e-20,1,0,ok,1,-3.747263514459272e-05,nan,-3.747263514459272e-05,"t_negative_used"
29,-0.0006224293708516176,-7.275155951847754e-05,0.0008775706291483824,-7.275155951847754e-05,1,0,ok,1,-3.715235579349291e-05,nan,-3.715235579349291e-05,"t_negative_used"
30,-0.0006097747855633563,-0.0001445192789985958,0.0008902252144366437,-0.0001445192789985958,1,0,ok,1,-3.619584896898337e-05,nan,-3.619584896898337e-05,"t_negative_used"
31,-0.0005888740423591693,-0.0002143326231507521,0.0009111259576408307,-0.0002143326231507521,1,0,ok,1,-3.461604978499352e-05,nan,-3.461604978499352e-05,"t_negative_used"
32,-0.0005600097879360051,-0.0002812474862589563,0.000939990212063995,-0.0002812474862589563,1,0,ok,1,-3.243432231536648e-05,nan,-3.243432231536648e-05,"t_negative_used"
33,-0.0005235723618187735,-0.0003443589595910384,0.0009764276381812265,-0.0003443589595910384,1,0,ok,1,-2.968017068141109e-05,nan,-2.968017068141109e-05,"t_negative_used"
34,-0.0004800545176878929,-0.0004028135687368979,0.001019945482312107,-0.0004028135687368979,1,0,ok,1,-2.63908400592735e-05,nan,-2.63908400592735e-05,"t_negative_used"
35,-0.0004300447597310731,-0.0004558208153857771,0.001069955240268927,-0.0004558208153857771,1,0,ok,1,-2.261081300282452e-05,nan,-2.261081300282452e-05,"t_negative_used"
36,-0.000374219384133746,-0.0005026638674598274,0.001125780615866254,-0.0005026638674598274,1,0,ok,1,-1.839120789342706e-05,nan,-1.839120789342706e-05,"t_negative_used"
37,-0.0003133333333333336,-0.0005427092530382481,0.001186666666666666,-0.0005427092530382481,1,0,ok,1,-1.37890876515214e-05,nan,-1.37890876515214e-05,"t_negative_used"
38,-0.0002482099867178716,-0.0005754154269783051,0.001251790013282128,-0.0005754154269783051,1,0,ok,1,-8.866688058516148e-06,nan,-8.866688058516148e-06,"t_negative_used"
39,-0.0001797300258322835,-0.0006003400943843729,0.001320269974167717,-0.0006003400943843729,1,0,ok,1,-3.690576124609161e-06,nan,-3.690576124609161e-06,"t_negative_used"
40,-0.0001088195246712763,-0.0006171461918876504,0.001391180475328724,-0.0006171461918876504,1,0,ok,1,1.669250115829673e-06,nan,1.669250115829673e-06,""
41,-3.643742611723177e-05,-0.0006256064458499947,0.001463562573882768,-0.0006256064458499947,1,0,ok,1,7.140308207594526e-06,nan,7.140308207594526e-06,""
