tri_id,foot_cx_m,foot_cy_m,foot_area_m2,path_len_m,alpha_dot_disp,att,Ponplane_W,I_Wm2
0,0.001948171135613535,2.457061684747141e-05,2.284278983220272e-08,0.001401088460703634,0.1996480199435739,0.6707920907417221,0.000149785529875225,6557.234513626009
1,0.001942456640747496,7.337928751595206e-05,2.284260712905666e-08,0.001400661362550325,0.1995871606166857,0.6708737436212094,0.0001498039125985816,6558.091716598555
2,0.001931105062230702,0.0001211947819448469,2.284224419025403e-08,0.001399812944471578,0.1994662653311587,0.671035974178904,0.0001498404360334537,6559.794860147114
3,0.001914270168503763,0.0001673699635776046,2.284170591758047e-08,0.001398554684650233,0.1992869696699994,0.6712766450048641,0.0001498946190778384,6562.321554208859
4,0.001892179991890139,0.0002112799516241994,2.284099958117083e-08,0.001396903605743909,0.1990516992758297,0.671592582371478,0.0001499657473618939,6565.638549615815
5,0.001865133724957404,0.0002523305952501717,2.284013472168178e-08,0.001394882044313948,0.1987636369956785,0.6719796148314467,0.0001500528819281789,6569.702138654029
6,0.001833497649624329,0.0002899665269665833,2.283912302188019e-08,0.001392517348301391,0.1984266797728378,0.6724326242287285,0.0001501548707041344,6574.458684787677
7,0.001797700155402098,0.0003236786853146266,2.283797814935354e-08,0.001389841506665844,0.1980453858722741,0.6729456087180423,0.0001502703626764099,6579.845277619877
8,0.001758225915669678,0.0003530112044504569,2.283671557242731e-08,0.001386890716224055,0.1976249131573161,0.6735117572689294,0.0001503978246498003,6585.790507956771
9,0.001715609302381374,0.0003775675771681899,2.283535235174381e-08,0.001383704891576416,0.1971709492566603,0.674123535000844,0.0001505355604444917,6592.215356510414
10,0.001670427129926722,0.0003970160081112146,2.283390691027527e-08,0.001380327124779636,0.1966896345704585,0.6747727785565872,0.0001506817323539538,6599.034188325739
11,0.001623290827868708,0.0004110938852550125,2.283239878484582e-08,0.001376803102102281,0.1961874791609327,0.6754508005739269,0.0001508343846526471,6606.155843456884
12,0.001574838149857422,0.0004196113100248748,2.283084836248352e-08,0.001373180485777402,0.1956712746552513,0.6761485021619035,0.0001509914689080683,6613.48481277564
13,0.001525724532058174,0.0004224536394539298,2.28292766051418e-08,0.001369508269135618,0.1951480023552541,0.6768564921325565,0.0001511508708165185,6620.922486106067
14,0.001476614218876952,0.0004195830073975694,2.282770476648772e-08,0.001365836113856505,0.1946247387991271,0.6775652115850557,0.0001513104382472182,6628.368458196897
15,0.00142817127656696,0.0004110388058021329,2.282615410457085e-08,0.001362213678311562,0.1941085600536723,0.6782650622927194,0.0001514680101461973,6635.72187641835
16,0.001381050616439502,0.0003969371211799103,2.282464559425916e-08,0.001358689946085522,0.1936064460319901,0.6789465372099487,0.0001516214459212193,6642.882812574978
17,0.001335889148884348,0.0003774691355728386,2.282319964333031e-08,0.001355312563753144,0.193125186130021,0.6796003513018574,0.0001517686549030129,6649.753639926851
18,0.00129329718725824,0.0003528985152024516,2.282183581607323e-08,0.001352127196856429,0.1926712874565567,0.6802175708104699,0.0001519076254578991,6656.24039547738
19,0.001253850216973425,0.0003235578235201219,2.282057256816085e-08,0.001349176912774628,0.1922508868953361,0.6807897390136375,0.000152036453313714,6662.254106885753
20,0.001218081139881351,0.0002898440083160263,2.281942699640824e-08,0.00134650159881014,0.1918696681852295,0.681308996511478,0.0001521533686559536,6667.712063054975
21,0.001186473097386187,0.0002522130247557893,2.281841460683633e-08,0.001344137423332833,0.1915327851360293,0.6817681940943732,0.0001522567615552484,6672.539007579989
22,0.001159452967741472,0.0002111736675420567,2.281754910421858e-08,0.001342116347240116,0.1912447920139808,0.6821609963093109,0.0001523452053013598,6676.668234854101
23,0.001137385623797853,0.000167280695710527,2.281684220599295e-08,0.001340465692308366,0.1910095820340437,0.6824819739490474,0.0001524174772429922,6680.042569736446
24,0.001120569027207523,0.0001211273427471703,2.281630348310384e-08,0.001339207772242336,0.1908303347862983,0.6827266838409337,0.0001524725767671589,6682.615213286827
25,0.001109230223890339,7.333731265275196e-05,2.281594022995737e-08,0.001338359591383332,0.1907094733033851,0.6828917345072651,0.0001525097400956662,6684.350439146956
26,0.001103522293572401,2.455636919481639e-05,2.28157573652852e-08,0.001337932615125608,0.1906486313460013,0.6829748365028679,0.0001525284516291144,6685.224127654455
27,0.001103522293572401,-2.455636919481638e-05,2.281575736528529e-08,0.001337932615125608,0.1906486313460013,0.6829748365028679,0.000152528451629115,6685.224127654452
28,0.001109230223890339,-7.333731265275199e-05,2.281594022995727e-08,0.001338359591383332,0.190709473303385,0.6828917345072653,0.0001525097400956656,6684.350439146955
29,0.001120569027207523,-0.0001211273427471701,2.281630348310377e-08,0.001339207772242335,0.1908303347862982,0.6827266838409338,0.0001524725767671585,6682.61521328683
30,0.001137385623797855,-0.000167280695710527,2.281684220599305e-08,0.001340465692308366,0.1910095820340437,0.6824819739490474,0.0001524174772429926,6680.042569736438
31,0.001159452967741472,-0.0002111736675420566,2.281754910421855e-08,0.001342116347240116,0.1912447920139808,0.6821609963093109,0.0001523452053013597,6676.668234854101
32,0.001186473097386188,-0.0002522130247557893,2.281841460683643e-08,0.001344137423332833,0.1915327851360292,0.6817681940943732,0.0001522567615552494,6672.539007580002
33,0.001218081139881352,-0.0002898440083160265,2.281942699640813e-08,0.00134650159881014,0.1918696681852295,0.681308996511478,0.0001521533686559526,6667.712063054964
34,0.001253850216973421,-0.0003235578235201211,2.282057256816085e-08,0.001349176912774628,0.1922508868953361,0.6807897390136375,0.0001520364533137141,6662.25410688576
