tri_id,cx_m,cy_m,cz_m,area_face_m2,Sdotn_Wm2,Pin_W
0,0.001916365345839428,2.425051983949253e-05,0.002000727369616097,2.289046428149934e-08,9755.00116102633,0.0002232965056424578
1,0.001910734718804991,7.242361283902448e-05,0.002000301774224227,2.289009790760286e-08,9755.167060211194,0.0002232967291132566
2,0.001899549609307508,0.0001196173007164494,0.001999456338888061,2.288937009699319e-08,9755.496637985778,0.0002232971730268293
3,0.001882961276765058,0.0001651933698032362,0.001998202496670189,2.288829065820373e-08,9755.985481963455,0.0002232978313683954
4,0.00186119404991826,0.0002085354819499982,0.001996557203635661,2.288687414029215e-08,9756.627045248841,0.0002232986952183807
5,0.001834542293168889,0.0002490575094426455,0.001994542709550297,2.288513963869328e-08,9757.412731551834,0.0002232997528739274
6,0.001803366425806322,0.000286211461374225,0.001992186256990768,2.28831105402386e-08,9758.332007163486,0.0002233009900082705
7,0.00176808804795494,0.0003194948942818682,0.001989519712935486,2.288081421061546e-08,9759.372538507103,0.0002233023898657635
8,0.001729184239155693,0.0003484577068326919,0.001986579137818384,2.287828162829225e-08,9760.520353665204,0.0002233039334898312
9,0.001687181106683735,0.0003727082266721845,0.001983404297873415,2.287554696964863e-08,9761.76002597924,0.0002233055999807265
10,0.001642646670850052,0.0003919185071208926,0.001980038127364444,2.287264715069943e-08,9763.074877525269,0.0002233073667794936
11,0.001596183183501187,0.0004058287620906744,0.001976526147972995,2.286962133140383e-08,9764.447199990227,0.000223309209974263
12,0.001548418983596169,0.0004142508792458817,0.001972915853195594,2.286651038906882e-08,9765.858490213237,0.0002233111046246369
13,0.0015,0.0004170709638999965,0.001969256066075702,2.286335636780946e-08,9767.289697419612,0.0002233130250997385
14,0.001451581016403831,0.0004142508792458817,0.00196559627895581,2.286020191139018e-08,9768.721478967405,0.000223314945425329
15,0.001403816816498813,0.0004058287620906744,0.001961985984178409,2.285708968703393e-08,9770.134461252195,0.0002233168396352223
16,0.001357353329149948,0.0003919185071208926,0.00195847400478696,2.285406180797001e-08,9771.509502280807,0.0002233186821222919
17,0.001312818893316265,0.0003727082266721845,0.001955107834277989,2.28511592625476e-08,9772.827952335345,0.0002233204479842919
18,0.001270815760844307,0.000348457706832692,0.001951932994333019,2.284842135771e-08,9774.071909107815,0.0002233221133598523
19,0.00123191195204506,0.0003194948942818683,0.001948992419215918,2.284588518447493e-08,9775.224463699396,0.000223323655750147
20,0.001196633574193678,0.000286211461374225,0.001946325875160636,2.28435851128088e-08,9776.26993394831,0.0002233250543219419
21,0.001165457706831111,0.0002490575094426455,0.001943969422601107,2.284155232291406e-08,9777.194081679598,0.0002233262901879702
22,0.001138805950081741,0.0002085354819499983,0.001941954928515743,2.283981437948532e-08,9777.984310658794,0.0002233273466609666
23,0.001117038723234942,0.0001651933698032363,0.001940309635481215,2.28383948549038e-08,9778.629842278962,0.0002233282094779127
24,0.001100450390692492,0.0001196173007164495,0.001939055793263343,2.283731300669558e-08,9779.121866314497,0.0002233288669916452
25,0.001089265281195009,7.242361283902445e-05,0.001938210357927177,2.283658351381121e-08,9779.453664430737,0.0002233293103272195
26,0.001083634654160572,2.42505198394925e-05,0.001937784762535307,2.283621627547596e-08,9779.620704540548,0.0002233295335010105
27,0.001083634654160572,-2.425051983949249e-05,0.001937784762535307,2.283621627547604e-08,9779.620704540548,0.0002233295335010114
28,0.001089265281195009,-7.242361283902444e-05,0.001938210357927176,2.283658351381111e-08,9779.453664430734,0.0002233293103272185
29,0.001100450390692492,-0.0001196173007164493,0.001939055793263343,2.283731300669552e-08,9779.121866314499,0.0002233288669916446
30,0.001117038723234942,-0.0001651933698032361,0.001940309635481215,2.283839485490387e-08,9778.629842278962,0.0002233282094779133
31,0.001138805950081741,-0.0002085354819499982,0.001941954928515743,2.283981437948529e-08,9777.984310658796,0.0002233273466609664
32,0.001165457706831111,-0.0002490575094426455,0.001943969422601107,2.284155232291421e-08,9777.1940816796,0.0002233262901879717
33,0.001196633574193678,-0.000286211461374225,0.001946325875160636,2.284358511280866e-08,9776.269933948312,0.0002233250543219405
34,0.00123191195204506,-0.0003194948942818681,0.001948992419215918,2.284588518447496e-08,9775.224463699395,0.0002233236557501472
35,0.001270815760844307,-0.0003484577068326919,0.001951932994333019,2.284842135770988e-08,9774.071909107815,0.0002233221133598512
36,0.001312818893316265,-0.0003727082266721844,0.001955107834277989,2.285115926254774e-08,9772.827952335349,0.0002233204479842934
37,0.001357353329149948,-0.0003919185071208926,0.00195847400478696,2.285406180796994e-08,9771.509502280805,0.0002233186821222911
38,0.001403816816498813,-0.0004058287620906744,0.001961985984178409,2.2857089687034e-08,9770.134461252195,0.000223316839635223
39,0.001451581016403831,-0.0004142508792458817,0.00196559627895581,2.286020191139005e-08,9768.721478967407,0.0002233149454253277
40,0.0015,-0.0004170709638999965,0.001969256066075702,2.286335636780946e-08,9767.289697419608,0.0002233130250997384
41,0.001548418983596169,-0.0004142508792458817,0.001972915853195594,2.286651038906901e-08,9765.858490213232,0.0002233111046246387
42,0.001596183183501187,-0.0004058287620906744,0.001976526147972995,2.286962133140378e-08,9764.447199990227,0.0002233092099742624
43,0.001642646670850052,-0.0003919185071208927,0.001980038127364444,2.287264715069935e-08,9763.074877525267,0.0002233073667794927
44,0.001687181106683735,-0.0003727082266721845,0.001983404297873415,2.287554696964869e-08,9761.76002597924,0.0002233055999807271
45,0.001729184239155693,-0.0003484577068326919,0.001986579137818385,2.287828162829217e-08,9760.520353665206,0.0002233039334898305
